                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.81581,                 1.5375,                 1.0487,                0.82169,                0.97727,                0.98174,                0.78397,                0.88355,                 1.1051,                0.94826,             0.00024602,             0.00024602,             0.00024602
                     52,                0.79766,                 1.5553,                  1.011,                0.82283,                0.97727,                0.96859,                0.77408,                0.85987,                 1.1738,                0.95235,             0.00023828,             0.00023828,             0.00023828
                     53,                0.77491,                 1.5442,                 1.0747,                0.81099,                 0.9603,                0.96117,                0.77439,                0.84204,                  1.207,                0.94617,             0.00023055,             0.00023055,             0.00023055
                     54,                0.78768,                 1.5679,                  1.024,                 0.7878,                0.96725,                0.97606,                0.79021,                0.80827,                  1.187,                0.92478,             0.00022281,             0.00022281,             0.00022281
                     55,                0.83861,                 1.5146,                  1.024,                0.82452,                0.95882,                0.97606,                0.78827,                0.82237,                 1.1925,                 0.9106,             0.00021508,             0.00021508,             0.00021508
                     56,                0.76635,                  1.511,                0.98105,                 0.8544,                0.93895,                0.97606,                 0.7792,                0.87592,                 1.1877,                0.92105,             0.00020734,             0.00020734,             0.00020734
                     57,                 0.8199,                 1.4108,                 1.0033,                0.85986,                0.94443,                0.97606,                0.78119,                0.89827,                 1.1662,                0.93043,             0.00019961,             0.00019961,             0.00019961
                     58,                0.82028,                 1.4222,                  1.017,                0.90382,                0.92871,                0.97606,                0.78404,                0.85087,                 1.1271,                0.91506,             0.00019188,             0.00019188,             0.00019188
                     59,                0.81539,                 1.5561,                 1.0002,                0.89405,                0.93823,                0.97606,                0.79574,                0.81913,                 1.1002,                0.89819,             0.00018414,             0.00018414,             0.00018414
                     60,                0.71057,                 1.2993,                0.95262,                0.83374,                0.95563,                0.97227,                 0.7928,                0.82494,                 1.1092,                0.89783,             0.00017641,             0.00017641,             0.00017641
                     61,                0.71279,                 1.2848,                0.95027,                0.79253,                0.96437,                0.92705,                0.74005,                0.83422,                 1.1143,                0.90125,             0.00016867,             0.00016867,             0.00016867
                     62,                0.70239,                 1.3086,                0.95038,                0.80802,                0.97598,                0.98174,                0.80042,                0.83203,                 1.0577,                0.90698,             0.00016094,             0.00016094,             0.00016094
                     63,                0.77372,                 1.2777,                0.96693,                0.82047,                0.97727,                0.98174,                0.81849,                0.82493,                 1.0122,                0.90882,              0.0001532,              0.0001532,              0.0001532
                     64,                0.77994,                 1.2486,                 1.0086,                0.83177,                0.97727,                0.98742,                 0.8168,                0.80861,                0.98502,                 0.9046,             0.00014547,             0.00014547,             0.00014547
                     65,                0.68125,                 1.3116,                0.98589,                0.84722,                0.95861,                0.98742,                0.82924,                0.79761,                0.98292,                0.89619,             0.00013773,             0.00013773,             0.00013773
                     66,                0.70429,                 1.2652,                  0.971,                0.86047,                0.94611,                0.98742,                0.82244,                0.78634,                0.98287,                0.88937,                0.00013,                0.00013,                0.00013
                     67,                0.76842,                  1.446,                0.95709,                  0.863,                0.94487,                0.98742,                0.82424,                0.77977,                0.97275,                0.88766,             0.00012227,             0.00012227,             0.00012227
                     68,                0.69739,                 1.2361,                0.94652,                0.86249,                0.94114,                0.98742,                0.82124,                0.78027,                 0.9846,                0.89034,             0.00011453,             0.00011453,             0.00011453
                     69,                 0.7043,                  1.335,                0.98331,                 0.8363,                0.97319,                0.99045,                0.82734,                0.78433,                0.99418,                0.89481,              0.0001068,              0.0001068,              0.0001068
                     70,                0.70043,                 1.2785,                0.97558,                0.81623,                0.97727,                0.99045,                0.83468,                0.78239,                0.99777,                0.89994,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     71,                0.64119,                 1.2357,                0.94053,                0.81744,                0.99212,                  0.995,                0.84563,                0.77286,                 1.0036,                 0.9045,             9.1328e-05,             9.1328e-05,             9.1328e-05
                     72,                0.69528,                 1.2695,                 1.0041,                0.82441,                0.97612,                0.97985,                0.81406,                 0.7819,                 1.0034,                0.91382,             8.3594e-05,             8.3594e-05,             8.3594e-05
                     73,                0.63732,                 1.2698,                 0.9449,                0.84573,                0.95758,                0.97985,                0.82311,                0.78456,                 0.9978,                0.91972,             7.5859e-05,             7.5859e-05,             7.5859e-05
                     74,                0.60056,                 1.2529,                0.93757,                0.85146,                0.95071,                0.97985,                0.82157,                0.77833,                0.99412,                 0.9185,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     75,                0.60559,                 1.1921,                0.89704,                0.84682,                0.94937,                0.97985,                0.82534,                0.76647,                0.98626,                0.91181,             6.0391e-05,             6.0391e-05,             6.0391e-05
                     76,                 0.6436,                 1.2386,                0.95183,                 0.8474,                 0.9489,                0.97985,                0.82723,                0.75427,                0.97441,                0.90018,             5.2656e-05,             5.2656e-05,             5.2656e-05
                     77,                0.63449,                 1.2664,                0.92351,                0.84772,                0.94972,                0.97985,                 0.8219,                0.74631,                0.95479,                0.88936,             4.4922e-05,             4.4922e-05,             4.4922e-05
                     78,                0.66427,                 1.2443,                0.96582,                0.85655,                0.95084,                0.97985,                0.81979,                0.73728,                0.92806,                0.88281,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     79,                0.63248,                 1.3005,                0.95192,                0.86794,                0.95118,                0.97985,                0.81753,                0.73383,                0.91176,                0.87756,             2.9453e-05,             2.9453e-05,             2.9453e-05
                     80,                0.60785,                 1.2573,                0.94827,                0.87763,                0.95094,                0.97985,                0.81848,                0.73077,                0.90549,                0.87631,             2.1719e-05,             2.1719e-05,             2.1719e-05
